effect,group,term,estimate,std.error,statistic,df,metric,model_id,formula,study_id,p.value,dataID,p.adjust
ran_pars,rarefyID:study_id,sd__year_scaled,0.23382447312037136,NA,NA,NA,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,sd__(Intercept),0.47897849824216066,NA,NA,NA,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,cor__(Intercept).year_scaled,0.04006914225132036,NA,NA,NA,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,study_id,sd__year_scaled,0.10930738319416121,NA,NA,NA,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.6227204829118811,NA,NA,NA,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
group_slope,taxa,Birds,-0.013875120294372335,0.04196307927604512,NA,10.878789705188613,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,0.7471890121845006,NA,0.9912361120768451
group_slope,taxa,Mammals,0.1088297954487417,0.1001181505070375,NA,246.34517065424637,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,0.27809321507251794,NA,0.6556209227436397
contrast,taxa,Birds - Mammals,-0.12270491574311404,0.10855663997783581,-1.1303308187151602,110.70041880434125,SES_FDiv,taxa,value ~ year_scaled * taxa + (year_scaled|study_id/rarefyID),NA,0.260779936180801,NA,0.6412624989922246
fixed,NA,(Intercept),-0.10094485434470539,0.22770160553037577,-0.4433207842763286,18.37051646489857,SES_FDiv,realm,value ~ year_scaled * realm + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,year_scaled,-0.022032959156188827,0.0736882845360987,-0.2990021995341096,7.61853842298617,SES_FDiv,realm,value ~ year_scaled * realm + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,realmTerrestrial,-0.2025088385813693,0.2627404265195446,-0.7707562983890688,21.633801718599003,SES_FDiv,realm,value ~ year_scaled * realm + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
fixed,NA,year_scaled:realmTerrestrial,0.03119962060107393,0.08809547594280051,0.3541568992865369,10.192039828310943,SES_FDiv,realm,value ~ year_scaled * realm + (year_scaled|study_id/rarefyID),NA,NA,NA,NA
