effect,group,term,estimate,std.error,p.value,metric,model,n_ts,formula,REML,bobyqa
ran_pars,study_id,cor__(Intercept).year_scaled,1,NA,NA,FDiv,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,0.06392601205246612,NA,NA,FDiv,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.12204013084223692,NA,NA,FDiv,,11,log(value) ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),3.463930144655922,1.2682186555127815,0.229646266626734,CWM_bodymass_value,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,-0.9994505358085347,0.8541725064181592,0.44722095744988394,CWM_bodymass_value,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0,NA,NA,CWM_bodymass_value,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,NA,NA,NA,CWM_bodymass_value,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.6677032797693015,NA,NA,CWM_bodymass_value,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),2.131803940268076,NA,NA,CWM_bodymass_value,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,-1,NA,NA,CWM_bodymass_value,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,1.0637013541358742,NA,NA,CWM_bodymass_value,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.5533967320934703,NA,NA,CWM_bodymass_value,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),0.5086704868350171,0.02912849685086694,0.005208874698170763,Jaccard_base,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,-0.0688424605213247,0.014653725039629487,0.08656198585060913,Jaccard_base,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.07910985676611508,NA,NA,Jaccard_base,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-0.9999997522741861,NA,NA,Jaccard_base,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.002350148967012841,NA,NA,Jaccard_base,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),2.061271447008381e-6,NA,NA,Jaccard_base,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,-1,NA,NA,Jaccard_base,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,3.563532848603494e-6,NA,NA,Jaccard_base,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.054384420421461584,NA,NA,Jaccard_base,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),0.5121100129657794,0.03906003694829189,0.1479282121694406,Jaccard_next,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,-0.03992354105379264,0.017648020549744067,0.11831839581065752,Jaccard_next,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.07484688077391945,NA,NA,Jaccard_next,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-0.9999996740176904,NA,NA,Jaccard_next,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.0036787686707685976,NA,NA,Jaccard_next,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.03713099048043643,NA,NA,Jaccard_next,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,-1,NA,NA,Jaccard_next,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,6.834141599239035e-4,NA,NA,Jaccard_next,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.06494866109171117,NA,NA,Jaccard_next,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),4.369057025867899,0.19914280674526103,0.0016093501003446589,CWM_body_size_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,-0.10586184311190769,0.13351670963589385,0.5411909876578588,CWM_body_size_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.05639756590316711,NA,NA,CWM_body_size_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,1,NA,NA,CWM_body_size_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.03531045133773263,NA,NA,CWM_body_size_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.3198376837969208,NA,NA,CWM_body_size_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,1,NA,NA,CWM_body_size_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,0.19053580266450404,NA,NA,CWM_body_size_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.28895381002513915,NA,NA,CWM_body_size_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),7.274806576641534,0.4572472997692257,0.049715357782400736,CWM_litter_size_max_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,-0.5824593464894404,0.27957434480347704,0.4483734384689278,CWM_litter_size_max_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.3821013466754606,NA,NA,CWM_litter_size_max_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-0.9999998997162725,NA,NA,CWM_litter_size_max_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.07022563422073061,NA,NA,CWM_litter_size_max_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.7317495421852069,NA,NA,CWM_litter_size_max_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,-1,NA,NA,CWM_litter_size_max_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,0.3422094572000166,NA,NA,CWM_litter_size_max_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.5081735576087605,NA,NA,CWM_litter_size_max_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),5.986121002523969,0.17340889619368036,0.005259936614329084,CWM_litter_size_min_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,0.1211992969587991,0.1362977562732776,0.5304025612394507,CWM_litter_size_min_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.38041994443045163,NA,NA,CWM_litter_size_min_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-1,NA,NA,CWM_litter_size_min_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.07773966263020413,NA,NA,CWM_litter_size_min_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),7.359702601962927e-6,NA,NA,CWM_litter_size_min_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,-1,NA,NA,CWM_litter_size_min_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,1.1564619158445856e-5,NA,NA,CWM_litter_size_min_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.5037312132113411,NA,NA,CWM_litter_size_min_n,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
